"Molecule ChEMBL ID","Molecule Name","Molecular Weight","AlogP","Smiles","hERG_IC50_nM","Assay Type","Target Name","Document Year"
"CHEMBL4649081",,"445.4","4.41","Nc1nc(N2CCC(N(CCc3ccc(Cl)cc3)Cc3cccc(Cl)c3)CC2)n[nH]1",3700,"B","HERG",2020
"CHEMBL4637417",,"426.95","3.46","Nc1nc(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3O)CC2)n[nH]1",100,"B","HERG",2020
"CHEMBL4638321",,"336.4","2.78","O=C(NCC1CCOCC1)c1n[nH]c2ccc(-c3cccnc3)cc12",49300,"B","HERG",2020
"CHEMBL1423","PIMOZIDE","461.56","5.86","O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1",50.12,"B","HERG",2003
"CHEMBL4639022",,"644.85","4.43","CN1C(C)(C)CC(Nc2nc3c(-c4ccc(C(=O)N5CCN(S(C)(=O)=O)CC5)cc4)cnn3c(N)c2-c2ccccc2)CC1(C)C",14000,"B","HERG",2020
"CHEMBL1404","RANOLAZINE","427.55","2.31","COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1",12000,"B","HERG",2016
"CHEMBL2207655",,"639.56","2.22","CC1(O)CN(S(=O)(=O)c2ccc3c(C(=O)NC[C@@H](O)CN4CCC(Oc5ccc(Cl)c(Cl)c5)CC4)c[nH]c(=O)c3c2)C1",3162.28,"B","HERG",2012
"CHEMBL1081957",,"463.53","4.55","Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(C(F)(F)F)c3)C2)n1C",3162.28,"B","HERG",2010
"CHEMBL4093031","BMS-929075","538.55","5.92","CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ncccn5)CC4)ccc3C)c(F)c12",18000,"B","HERG",2017
"CHEMBL4101067",,"420.47","2.44","CCc1cc(COc2cc(C(=O)N3CCC[C@@H](N)C3)nn2-c2ccc(C#N)cc2)on1",5000,"B","HERG",2017
"CHEMBL3318993",,"439.92","4.25","Cc1cc2[nH]c(C3CCN(CCn4c(=O)ccc5ncc(F)cc54)CC3)nc2cc1Cl",1200,"B","HERG",2014
"CHEMBL3318997",,"442.52","3.34","COc1cnc2ccc(=O)n(CCN3CCC(c4nc5cc(C#N)c(C)cc5[nH]4)CC3)c2c1",10000,"B","HERG",2014
"CHEMBL4065169",,"448.52","4.35","CS(=O)(=O)Nc1cccc([C@H](c2ccc(F)cc2)C(c2cccnc2)c2cccnc2)n1",110000,"B","HERG",2017
"CHEMBL502835","NINTEDANIB","539.64","3.62","COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1",2.6,"B","HERG",2017
"CHEMBL1083409",,"347.44","1.86","CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O",8000,"B","HERG",2010
"CHEMBL3787333",,"392.46","3.01","Cc1cc(CN(C)C)ccc1OC1CN(C(=O)c2nnc(-c3ccccc3)o2)C1",8600,"B","HERG",2016
"CHEMBL3786768",,"444.58","4.37","Cn1nc(C(=O)N2CCC(Oc3ccc(CN4CCCC4)cc3)CC2)cc1-c1ccccc1",7400,"B","HERG",2016
