Transformation,Negative_impact,Neutral_impact,Positive_impact
*OC>>*OCC,83.33,0,16.67
*OC>>*S(C)(=O)=O,36.36,0,63.64
*OC(C)C>>*OC,30,10,60
*OC(F)(F)F>>*C#N,18.18,0,81.82
*OC(F)(F)F>>*C(F)(F)F,25,0,75
*OC(F)(F)F>>*Cl,27.27,0,72.73
*OC(F)(F)F>>*F,0,0,100
*OC(F)(F)F>>*OC,14.29,0,85.71
*OC(F)F>>*OC,16.67,0,83.33
*OCC>>*C,30,0,70
*OCC>>*O,20,0,80
*OCC>>*OC,16.67,0,83.33
*S(C)(=O)=O>>*C#N,90,0,10
*S(C)(=O)=O>>*OC,63.64,0,36.36
*c1cc2c(cn1)OCCO2>>*c1ccc2c(n1)NC(=O)CO2,50,0,50
*c1ccc(C#N)cc1>>*c1ccc(F)cc1,15.38,30.77,53.85
*c1ccc(C(F)(F)F)cc1>>*c1ccc(F)cc1,25,8.33,66.67
*c1ccc(C(F)(F)F)cc1>>*c1ccccc1,6.25,0,93.75
*c1ccc(C)cc1>>*c1ccc(Cl)cc1,53.85,7.69,38.46
*c1ccc(C)cc1>>*c1ccc(F)cc1,9.09,0,90.91
*c1ccc(C)cc1>>*c1ccc(OC)cc1,50,0,50
*c1ccc(C)cc1>>*c1ccccc1,17.65,0,82.35
*c1ccc(Cl)c(Cl)c1>>*c1ccc(Cl)cc1,26.67,0,73.33
*c1ccc(Cl)cc1>>*c1ccc(C)cc1,38.46,7.69,53.85
*c1ccc(Cl)cc1>>*c1ccc(Cl)c(Cl)c1,73.33,0,26.67
*c1ccc(Cl)cc1>>*c1ccc(F)cc1,9.09,4.55,86.36
*c1ccc(Cl)cc1>>*c1ccc(OC)cc1,30.77,0,69.23
*c1ccc(Cl)cc1>>*c1cccc(Cl)c1,13.33,0,86.67
*c1ccc(Cl)cc1>>*c1cccc(F)c1,0,0,100
*c1ccc(Cl)cc1>>*c1ccccc1,14.29,0,85.71
*c1ccc(F)cc1>>*c1ccc(C#N)cc1,53.85,30.77,15.38
*c1ccc(F)cc1>>*c1ccc(C(F)(F)F)cc1,66.67,8.33,25
*c1ccc(F)cc1>>*c1ccc(C)cc1,90.91,0,9.09
*c1ccc(F)cc1>>*c1ccc(Cl)cc1,86.36,4.55,9.09
*c1ccc(F)cc1>>*c1ccc(F)cc1F,20,10,70
*c1ccc(F)cc1>>*c1ccc(OC)cc1,57.14,0,42.86
*c1ccc(F)cc1>>*c1cccc(F)c1,48,12,40
*c1ccc(F)cc1>>*c1ccccc1,15.79,7.89,76.32
*c1ccc(F)cc1>>*c1ccccc1F,28.57,0,71.43
*c1ccc(F)cc1>>*c1ccccn1,0,10,90
*c1ccc(F)cc1F>>*c1ccc(F)cc1,70,10,20
*c1ccc(F)cn1>>*c1ccccn1,30,0,70
*c1ccc(OC)cc1>>*c1ccc(C)cc1,50,0,50
*c1ccc(OC)cc1>>*c1ccc(Cl)cc1,69.23,0,30.77
*c1ccc(OC)cc1>>*c1ccc(F)cc1,42.86,0,57.14
*c1ccc(OC)cc1>>*c1cccc(F)c1,40,0,60
*c1ccc(OC)cc1>>*c1cccc(OC)c1,40,6.67,53.33
*c1ccc(OC)cc1>>*c1ccccc1,21.74,8.7,69.57
*c1ccc(OC)cc1>>*c1ccccc1OC,27.27,18.18,54.55
*c1ccc2c(n1)NC(=O)CO2>>*c1cc2c(cn1)OCCO2,50,0,50
*c1cccc(Cl)c1>>*c1ccc(Cl)cc1,86.67,0,13.33
*c1cccc(Cl)c1>>*c1cccc(F)c1,20,10,70
*c1cccc(Cl)c1>>*c1ccccc1,20,0,80
*c1cccc(F)c1>>*c1ccc(Cl)cc1,100,0,0
*c1cccc(F)c1>>*c1ccc(F)cc1,40,12,48
*c1cccc(F)c1>>*c1ccc(OC)cc1,60,0,40
*c1cccc(F)c1>>*c1cccc(Cl)c1,70,10,20
*c1cccc(F)c1>>*c1cccc(OC)c1,54.55,9.09,36.36
